severity,issue_class,subject,issue_type,scan_performed_on,status,insight,detection_method,risk,recommended_action
Low,DMARC Record Error detected,syrabit.ai,Email Security,2026-04-18T23:48:24.28822Z,Active,"DMARC Record Error detected. Your email authentication records for <b>%{domain}</b> are missing or incorrectly configured. This is evaluated alongside your mail server at <b>%{mx_name}</b>. Without valid records, attackers can send fraudulent emails appearing to come from your domain. Furthermore, legitimate emails may be flagged as spam by recipients using strict verification.","In your DNS records, you have an MX record for this domain without a corresponding, correctly formed DMARC record.",Attackers can spoof your email domain,"Update your DNS settings. Update your DNS settings with a valid DMARC policy to authorize <b>%{mx_name}</b>. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this change will take effect within that timeframe, protecting your domain's reputation."
Low,DMARC Record Error detected,syrabit.ai,Email Security,2026-04-18T23:48:24.269105Z,Active,"DMARC Record Error detected. Your email authentication records for <b>%{domain}</b> are missing or incorrectly configured. This is evaluated alongside your mail server at <b>%{mx_name}</b>. Without valid records, attackers can send fraudulent emails appearing to come from your domain. Furthermore, legitimate emails may be flagged as spam by recipients using strict verification.","In your DNS records, you have an MX record for this domain without a corresponding, correctly formed DMARC record.",Attackers can spoof your email domain,"Update your DNS settings. Update your DNS settings with a valid DMARC policy to authorize <b>%{mx_name}</b>. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this change will take effect within that timeframe, protecting your domain's reputation."
Moderate,Review and block AI bots from accessing your assets,syrabit.ai,Configuration suggestion,2026-04-18T23:48:24.552599Z,Active,,,,"Enable the 'Block AI bots' toggle. "
Low,Review unwanted AI crawlers with AI Labyrinth,syrabit.ai,Configuration suggestion,2026-04-18T23:48:24.552603Z,Active,,,,"Enable AI Labyrinth. "
Moderate,Bot Fight Mode not enabled,syrabit.ai,Configuration suggestion,2026-04-18T23:48:24.974479Z,Active,,,,"Toggle Bot Fight Mode on. You can see bot-related actions by going to Security > Events. Any requests challenged by this product will be labeled Bot Fight Mode in the Service field. This allows you to observe, analyze, and follow trends in your bot traffic over time."
Moderate,"Domains without ""Always Use HTTPS""",api.syrabit.ai,Insecure configuration,2026-04-18T23:48:33.597391Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains without HSTS,api.syrabit.ai,Insecure configuration,2026-04-18T23:48:33.597396Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains missing TLS Encryption,api.syrabit.ai,Compliance violation,2026-04-18T23:48:33.597397Z,Active,Domains missing TLS Encryption. We have detected that there is no TLS encryption for this host.,"Your host accepts HTTP connections on port 80 but does not accept HTTPS connections on port 443. As a result, we have determined that you do not have TLS encryption set up for this host.",Unencrypted data in transit,Set up TLS encryption for your host. Update the SSL/TLS encryption mode to Full (strict) for this zone.
Moderate,"Domains without ""Always Use HTTPS""",syrabit.ai,Insecure configuration,2026-04-18T23:48:33.597345Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains without HSTS,syrabit.ai,Insecure configuration,2026-04-18T23:48:33.597346Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
