2026-04-14T22:29:10.627560816Z [inf]  Starting Container
2026-04-14T22:29:11.471062169Z [inf]  Cloudflare AI Gateway ENABLED — base=https://gateway.ai.cloudflare.com/v1/d66e40eac539fff1db270fddf384a5ec/syrabit, cache_ttl=3600s
2026-04-14T22:29:11.596666280Z [inf]  HTTP Request: POST https://tolerant-sawfish-67135.upstash.io "HTTP/1.1 200 OK"
2026-04-14T22:29:11.621103032Z [inf]  MongoDB client initialised (connection not yet verified)
2026-04-14T22:29:11.920432979Z [inf]  HTTP Request: GET https://czeznmqogtwecidhpysa.supabase.co/rest/v1/users?select=id&limit=1 "HTTP/2 200 OK"
2026-04-14T22:29:11.920439226Z [inf]  Supabase client ready
2026-04-14T22:29:11.920445073Z [inf]  Sarvam AI translation client ready (priority key)
2026-04-14T22:29:11.926338994Z [inf]  Sarvam AI client ready (HTTP/2 pooled, dual-client, Cloudflare AI Gateway: https://gateway.ai.cloudflare.com/v1/d66e40eac539fff1db270fddf384a5ec/syrabit/sarvam)
2026-04-14T22:29:11.969320141Z [inf]  Environment validation passed
2026-04-14T22:29:11.969329076Z [inf]  ─── LLM Provider Key Diagnostic ───
2026-04-14T22:29:11.969334107Z [inf]    GROQ_API_KEY: SET
2026-04-14T22:29:11.969338489Z [inf]    GROQ_API_KEY_2: SET
2026-04-14T22:29:11.969342512Z [inf]    GEMINI_API_KEY: SET
2026-04-14T22:29:11.969347158Z [inf]    GEMINI_API_KEY_2: NOT SET
2026-04-14T22:29:11.969354616Z [inf]    XAI_API_KEY: NOT SET
2026-04-14T22:29:11.969360386Z [inf]    OPENAI_API_KEY: NOT SET
2026-04-14T22:29:11.969366051Z [inf]    SARVAM_API_KEY: SET
2026-04-14T22:29:11.969371351Z [inf]    CEREBRAS_API_KEY: SET
2026-04-14T22:29:11.969378202Z [inf]    OPENROUTER_API_KEY: SET
2026-04-14T22:29:11.969396606Z [inf]    AWS_ACCESS_KEY_ID: NOT SET
2026-04-14T22:29:11.969401149Z [inf]    AWS_SECRET_ACCESS_KEY: NOT SET
2026-04-14T22:29:11.970566003Z [inf]  ───────────────────────────────────
2026-04-14T22:29:12.496899598Z [inf]  SLM SmartKeyPool active slots: [('groq', 'meta-llama/llama-4-scout-17b-16e-instruct', 4, 30), ('cerebras', 'llama3.1-8b', 4, 30), ('openrouter', 'meta-llama/llama-4-scout', 4, 60)]
2026-04-14T22:29:12.496904187Z [inf]  SLM SmartKeyPool active slots: [('gemini', 'gemini-2.5-flash', 6, 30), ('sarvam', 'sarvam-m', 4, 30), ('cerebras', 'qwen-3-235b-a22b-instruct-2507', 4, 30)]
2026-04-14T22:29:12.496908531Z [inf]  Admin content providers (quality-first order): ['cerebras/qwen-3-235b-a22b-instruct-2507', 'sarvam/sarvam-m', 'gemini/gemini-2.5-flash']
2026-04-14T22:29:12.778357048Z [inf]  vertex_services: Google AI Studio API-key mode
2026-04-14T22:29:18.048477846Z [inf]  Replit PostgreSQL pool ready — tables created/verified
2026-04-14T22:29:18.048489143Z [inf]  Worker acquired startup lock — running migrations/indexes
2026-04-14T22:29:18.067434628Z [inf]  Replit PostgreSQL pool ready — tables created/verified
2026-04-14T22:29:18.067451038Z [inf]  Worker skipping migrations/indexes (another worker owns lock)
2026-04-14T22:29:18.067460232Z [inf]  Syrabit.ai API started
2026-04-14T22:29:18.067468169Z [inf]  Sarvam AI client ready
2026-04-14T22:29:20.815230436Z [inf]  100.64.0.2:39693 - "GET /api/health HTTP/1.1" 200
2026-04-14T22:29:22.960053672Z [wrn]  SLOW_QUERY library_bundle took 1741ms (threshold=200.0ms)
2026-04-14T22:29:23.143562935Z [inf]  Library-bundle cache pre-warmed
2026-04-14T22:29:23.184002360Z [wrn]  Cloudflare AI Gateway 401 auth error — falling back to direct URLs for 5 min: HTTPStatusError: Client error '401 Unauthorized' for url 'https://gateway.ai.cloudflare.com/v1/d66e40eac539fff1db270fddf384a5ec/syrabit/sarvam/v1/chat/completions'
For more information check: https://developer.mozilla
2026-04-14T22:29:24.392937643Z [inf]  llm_call provider=sarvam model=sarvam-m duration_ms=1279 tokens_approx=0
2026-04-14T22:29:29.228237764Z [inf]  MongoDB indexes ensured
2026-04-14T22:29:29.668692539Z [inf]  QA engine indexes ensured
2026-04-14T22:29:30.249017073Z [inf]  [migration] consent_dpdp columns ensured
2026-04-14T22:29:30.249022851Z [inf]  Syrabit.ai API started
2026-04-14T22:29:30.249028732Z [inf]  Sarvam AI client ready
2026-04-14T22:29:30.249034469Z [wrn]  Vectorize not configured — skipping seed
2026-04-14T22:29:34.769823065Z [wrn]  SLOW_QUERY library_bundle took 1606ms (threshold=200.0ms)
2026-04-14T22:29:34.993188715Z [inf]  Library-bundle cache pre-warmed
2026-04-14T22:29:38.421356839Z [inf]  [migration] credits_limit heal: UPDATE 0
2026-04-14T22:30:18.449277349Z [inf]  [migration] Supabase→PG: processed 166 users, inserted 0 new rows
