| Category                                | Proposed (₹) | Actual (₹) | Change | Key Reason                                                                                         |
| --------------------------------------- | ------------ | ---------- | ------ | -------------------------------------------------------------------------------------------------- |
| Web App Platform (Bubble / Alternative) | 65,000       | 33,549     | ↓      | Shift from no-code platform to custom AI infrastructure using Indian vendor-supported tools        |
| Plugins & Tools                         | 15,000       | 0          | ↓      | Eliminated due to custom development approach                                                      |
| Domain & Online Services                | 5,000        | 22,200     | ↑      | Expanded domains and brand protection strategy                                                     |
| AI Backend (RAG / Flowise)              | 20,000       | 0          | ↓      | Covered using startup credits (MongoDB)                                                            |
| AI API Usage                            | 25,000       | 16,021     | ↓      | Optimized via unified API management platform (Emergent) with Indian vendor support                |
| Vector DB & AI Infra                    | 15,000       | 0          | ↓      | Managed through free-tier services (Supabase + MongoDB)                                            |
| **Syllabus Digitization**               | 30,000       | 60,000     | ↑      | Expanded scope including full semester content, mentorship, and marketing access to 4500+ students |
| UI/UX Testing & Launch                  | 15,000       | 23,150     | ↑      | Increased effort in testing, debugging, and refinement                                             |
| Development Hardware                    | —            | 45,080     | New    | Required due to inadequate existing system; procurement of Indian-manufactured Primebook laptops   |
